Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,Peak Match,Peak Age,Peak Elo
Carlos Alcaraz,19.9,2159.5,2037,2014.7,1500,2098.2,2087.1,1829.8,2022 Roland Garros R16,19,2224.5
Novak Djokovic,35.9,2151.9,2075.4,1891.4,1871.6,2113.7,2021.6,2011.7,2016 Miami F,28.8,2470.1
Daniil Medvedev,27.1,2132.8,2060.8,1730.7,1731.8,2096.8,1931.7,1932.3,2022 Australian Open SF,25.9,2191.8
Jannik Sinner,21.6,2101.4,1996.4,1965.4,1543.3,2048.9,2033.4,1822.4,2023 Miami SF,21.5,2110
Stefanos Tsitsipas,24.6,2047,1922.4,2017.8,1711,1984.7,2032.4,1879,2021 Roland Garros SF,22.8,2133.3
Holger Rune,19.9,2040,1906.6,1860.2,1351.8,1973.3,1950.1,1695.9,2023 Munich F,19.9,2040
Andrey Rublev,25.4,2026.8,1912.7,1904.6,1611.8,1969.8,1965.7,1819.3,2021 Monte Carlo SF,23.4,2106.1
Taylor Fritz,25.4,2022.7,1930.7,1767.7,1663.6,1976.7,1895.2,1843.1,2023 Monte Carlo QF,25.4,2041.2
Felix Auger Aliassime,22.6,1991.8,1896,1785.1,1687.8,1943.9,1888.5,1839.8,2022 Paris QF,22.2,2053
Matteo Berrettini,26.9,1960.4,1764.7,1902,1953.9,1862.6,1931.2,1957.2,2022 Gstaad SF,26.2,2072.5
Cameron Norrie,27.6,1955,1851.4,1884.4,1660.7,1903.2,1919.7,1807.8,2022 Cincinnati QF,26.9,2018.3
Hubert Hurkacz,26.1,1945.2,1859.6,1740.4,1753.3,1902.4,1842.8,1849.3,2022 Canada SF,25.4,1998
Frances Tiafoe,25.2,1940.4,1854.1,1724.4,1604,1897.3,1832.4,1772.2,2023 Houston F,25.1,1955.1
Karen Khachanov,26.9,1939.8,1833.3,1801.9,1689.1,1886.6,1870.8,1814.4,2018 Paris F,22.4,2015.2
