game_type,competition,gender,player1,player2,odd1,odd2,date,player1AtpRank,player1AtpPoints,player2AtpRank,player2AtpPoints
singles,Busan Challenger Men,men,Saitoh K.,Saville L.,5.50,1.12,05/08/2023,693.,37,479.,82
singles,Busan Challenger Men,men,Jung J.,Hazawa S.,1.29,3.50,05/08/2023,338.,145,517.,70
singles,Busan Challenger Men,men,Lee J. M.,Rai A.,1.57,2.25,05/08/2023,649.,44,436.,104
singles,Busan Challenger Men,men,Sumizawa D.,Shin W.,1.44,2.62,05/08/2023,724.,33,1040.,10
singles,Busan Challenger Men,men,Mochizuki Y.,Ito T.,2.38,1.53,05/08/2023,596.,55,578.,57
singles,Busan Challenger Men,men,Ochi M.,Moriya H.,2.38,1.53,05/08/2023,537.,66,359.,135
singles,Busan Challenger Men,men,Uchiyama Y.,Son J. H.,1.11,6.00,05/08/2023,277.,187,1109.,8
singles,Busan Challenger Men,men,Tokuda R.,Statham J. R.,2.00,1.73,05/08/2023,730.,32,,
singles,Busan Challenger Men,men,Vukic A.,Harris L.,1.73,2.00,05/08/2023,142.,418,279.,185
singles,Mauthausen Challenger Men,men,Hassan B.,Jebens H.,1.11,6.00,05/08/2023,260.,207,1456.,2
singles,Mauthausen Challenger Men,men,Pel D.,Wenger D.,6.35,1.09,05/08/2023,,,401.,115
singles,Mauthausen Challenger Men,men,Marchenko I.,Gerch L.,1.57,2.25,05/08/2023,324.,155,334.,149
singles,Prague 2 Challenger Men,men,Damm M.,Harris B.,1.62,2.23,05/08/2023,420.,108,311.,167
singles,Prague 2 Challenger Men,men,Andreozzi G.,Rybakov A.,1.59,2.21,05/08/2023,301.,171,377.,124
singles,Prague 2 Challenger Men,men,Prihodko O.,Elias G.,3.47,1.29,05/08/2023,475.,85,320.,159
singles,Francavilla Challenger Men,men,Broady L.,Pacheco Mendez R.,1.17,5.00,05/08/2023,136.,433,878.,17
singles,Mauthausen Challenger Men,men,Pichler D.,Copil M.,3.00,1.36,05/08/2023,488.,80,384.,122
singles,Mauthausen Challenger Men,men,Ujvary M.,Djuric B.,2.44,1.49,05/08/2023,1439.,3,,
singles,Mauthausen Challenger Men,men,Basic M.,Nagal S.,3.20,1.30,05/08/2023,,,347.,140
singles,Francavilla Challenger Men,men,Fonio G.,Weis A.,1.39,2.75,05/08/2023,304.,171,348.,140
singles,Francavilla Challenger Men,men,Lavagno E.,Peliwo F.,1.18,4.30,05/08/2023,328.,153,367.,131
singles,Francavilla Challenger Men,men,Dalla Valle E.,Ajdukovic D.,2.55,1.45,05/08/2023,597.,55,,
singles,Prague 2 Challenger Men,men,Rincon D.,Artnak B.,1.21,4.16,05/08/2023,299.,172,685.,38
singles,Prague 2 Challenger Men,men,Sachko V.,Molleker R.,1.63,2.22,05/08/2023,268.,195,307.,169
singles,Prague 2 Challenger Men,men,Santillan A.,Stodder T.,,,05/08/2023,422.,108,314.,165
singles,Mauthausen Challenger Men,men,Prizmic D.,Zekic M.,,,05/08/2023,,,,
singles,Mauthausen Challenger Men,men,Melzer G.,McCabe J.,1.40,2.75,05/08/2023,418.,110,270.,194
singles,Francavilla Challenger Men,men,Barrena A.,Arnaboldi A.,2.50,1.49,05/08/2023,526.,68,468.,88
singles,Francavilla Challenger Men,men,Echargui M.,Fanselow S.,,,05/08/2023,310.,167,354.,138
singles,Francavilla Challenger Men,men,Travaglia S.,Potenza L.,,,05/08/2023,306.,170,493.,78
singles,Mauthausen Challenger Men,men,Misolic F.,Mpetshi Perricard G.,1.62,2.20,05/08/2023,126.,487,231.,250
singles,Prague 2 Challenger Men,men,Albot R.,Mensik J.,1.44,2.63,05/08/2023,103.,568,,
singles,Prague 2 Challenger Men,men,Dzumhur D.,Kicker N.,,,05/08/2023,,,210.,273
singles,Prague 2 Challenger Men,men,Added D.,Fatic N.,2.50,1.50,05/08/2023,252.,225,,
singles,Mauthausen Challenger Men,men,Andreev A.,Riedi L.,2.00,1.73,05/08/2023,,,156.,379
singles,Mauthausen Challenger Men,men,Neuchrist M.,Bagnis F.,2.50,1.50,05/08/2023,184.,323,116.,505
singles,Mauthausen Challenger Men,men,Delbonis F.,Guinard M.,1.33,3.25,05/08/2023,215.,270,267.,201
singles,Francavilla Challenger Men,men,Giustino L.,Kukushkin M.,1.73,2.00,05/08/2023,229.,253,295.,176
singles,Francavilla Challenger Men,men,Collignon R.,Pacheco Mendez R.,1.30,3.40,05/08/2023,211.,273,878.,17
singles,Francavilla Challenger Men,men,Mager G.,Piraino G.,1.36,3.00,05/08/2023,276.,188,478.,83
singles,Francavilla Challenger Men,men,Svrcina D.,Kuzmanov D.,1.91,1.80,05/08/2023,,,191.,305
